roteiro_link,filme_nome,tipo_filme
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.482/12.0.813.482.pdf,"NÃO POR ACASO",LONGA
http://www.roteirodecinema.com.br/banco/nettoperdesuaalma.htm,"NETTO PERDE SUA ALMA",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.716/12.0.813.716.pdf,"OLHOS AZUIS",LONGA
http://aplauso.imprensaoficial.com.br/livro-interna.php?iEdicaoID=187&leia=1,"ONDE ANDARÁ DULCE VEIGA?",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.249/12.0.813.249.pdf,"QUANTO VALE OU É POR QUILO?",LONGA
http://www.casacinepoa.com.br/os-filmes/roteiros/sal-de-prata-texto-inicial,"SAL DE PRATA",LONGA
http://aplauso.imprensaoficial.com.br/livro-interna.php?iEdicaoID=233&leia=1,"SALVE GERAL",LONGA
http://www.roteirodecinema.com.br/roteiros/se_eu_fosse_voce_roteiro.pdf,"SE EU FOSSE VOCÊ",LONGA
http://www.joaonunes.com/wp-content/uploads/2007/01/A_SELVA_%28final%29.pdf,"SELVA, A",LONGA
http://www.roteirodecinema.com.br/roteiros/tolerancia.pdf,"TOLERÂNCIA",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.226/12.0.813.226.pdf,"ZUZU ANGEL",LONGA
http://aplauso.imprensaoficial.com.br/edicoes/12.0.813.444/12.0.813.444.pdf,"12 TRABALHOS, OS",LONGA
http://www.casacinepoa.com.br/os-filmes/roteiros/3-efes,"3 EFES",LONGA
http://www.roteirodecinema.com.br/aumpassodedeus.pdf,"A UM PASSO DE DEUS",LONGA
http://www.roteirodecinema.com.br/alohaloca.pdf,"ALOHA LOCA",LONGA
http://www.roteirodecinema.com.br/nuncadeixedemeolhar.pdf,"NUNCA DEIXE DE ME OLHAR",LONGA
http://www.roteirodecinema.com.br/sambadeumanovagente.pdf,"SAMBA DE UMA NOVA GENTE",LONGA
http://www.roteirodecinema.com.br/NemMaisUmCopodeLeite.pdf,"NEM MAIS UM COPO DE LEITE",LONGA
http://www.roteirodecinema.com.br/Mais_Sete_Dias.pdf,"MAIS SETE DIAS",LONGA
http://www.roteirodecinema.com.br/cracaboy.pdf,"CRACABOY 3D",LONGA
http://www.roteirodecinema.com.br/capoeiras.pdf,"OS CAPOEIRAS",LONGA
http://www.roteirodecinema.com.br/vinganca.pdf,"VINGANÇA",LONGA
http://www.roteirodecinema.com.br/maninha.pdf,"MANINHA",LONGA
http://www.roteirodecinema.com.br/banco/bagaco.doc,"BAGAÇO, O",LONGA
http://www.roteirodecinema.com.br/banco/chefaodotrafico.doc,"CHEFÃO DO TRÁFICO",LONGA
http://www.roteirodecinema.com.br/cracaboy.pdf,"CRACABOY 3D",LONGA
http://www.roteirodecinema.com.br/banco/diadefesta.doc,"DIA DE FESTA",LONGA
http://www.roteirodecinema.com.br/banco/doida.doc,"DOIDA",LONGA
http://www.roteirodecinema.com.br/banco/esquadraodamorte.rtf,"ESQUADRÃO DA MORTE",LONGA
http://www.sergiovirgilio.com/felipe.pdf,"FELIPE",LONGA
http://www.roteirodecinema.com.br/banco/fimdefesta.doc,"FIM DE FESTA",LONGA
http://www.roteirodecinema.com.br/Forte_das_Almas-Roteiro.pdf,"FORTE DAS ALMAS ",LONGA
http://docs.google.com/View?docid=dc75nkjp_0jcxd6rgt,"HISTÓRIAS NORMAIS",LONGA
http://www.roteirodecinema.com.br/banco/impactodeacao.rtf,"IMPACTO DE AÇÃO",LONGA
http://www.roteirodecinema.com.br/roteiros/asincriveisetenebrosasviagensdeluci.pdf,"INCRÍVEIS E TENEBROSAS VIAGENS DE LUCI, AS",LONGA
http://www.roteirodecinema.com.br/banco/jovita2.pdf,"JOVITA",LONGA
http://www.roteirodecinema.com.br/roteiros/mascaras.pdf?docid=dc75nkjp_0jcxd6rgt,"MÁSCARAS",LONGA
http://www.roteirodecinema.com.br/roteiros/Mais_Sete_Dias.pdf,"MAIS SETE DIAS",LONGA
http://www.roteirodecinema.com.br/roteiros/maninha.pdf,"MANINHA",LONGA
http://www.roteirodecinema.com.br/roteiros/NemMaisUmCopodeLeite.pdf,"NEM MAIS UM COPO DE LEITE",LONGA
http://www.roteirodecinema.com.br/roteiros/ninguem_esta_ferido.pdf,"NINGUÉM ESTÁ FERIDO",LONGA
http://www.roteirodecinema.com.br/roteiros/nuncadeixedemeolhar.pdf,"NUNCA DEIXE DE ME OLHAR",LONGA
http://www.roteirodecinema.com.br/roteiros/perversidade.pdf,"PERVERSIDADE",LONGA
http://www.roteirodecinema.com.br/roteiros/o_prenuncio_do_camaleao.pdf,"PRENÚNICO DO CAMALEÃO, O",LONGA
http://www.roteirodecinema.com.br/banco/poramor.doc,"POR AMOR ",LONGA
http://www.roteirodecinema.com.br/banco/porviastortas.doc,"POR VIAS TORTAS",LONGA
http://www.roteirodecinema.com.br/roteiros/quando_a_lua_traiu_o_sol.pdf,"QUANDO A LUA TRAIU O SOL ",LONGA
http://www.roteirodecinema.com.br/banco/quandoasvozes.doc,"QUANDO AS VOZES CHEGAM",LONGA
http://www.eufabrico.com/wp-content/uploads/2009/10/Reacoes-Adversas-Random-Reactions.pdf,"REAÇÕES  ADVERSAS",LONGA
http://www.roteirodecinema.com.br/banco/rioapocalipse.rtf,"RIO APOCALIPSE ",LONGA
http://www.roteirodecinema.com.br/roteiros/roteiroosaltimbancosnofimdomundo.pdf,"SALTIMBANCOS NO FIM DO MUNDO, OS",LONGA
http://recantodasletras.uol.com.br/e-livros/1155573,"TETO DE VIDRO",LONGA
http://www.roteirodecinema.com.br/banco/traicao.pdf,"TRAIÇÃO",LONGA
http://www.roteirodecinema.com.br/banco/tudoaomesmotempo.doc,"TUDO AO MESMO TEMPO AGORA",LONGA
http://www.roteirodecinema.com.br/roteiros/vinganca.pdf,"VINGANÇA",LONGA
http://www.vivonumailha.asteriscando.com.br/roteiro.pdf,"VIVO NUMA ILHA",LONGA
http://www.casacinepoa.com.br/os-filmes/roteiros/decamer%C3%A3o-com%C3%A9dia-do-sexo,"DECAMERÃO - A COMÉDIA DO SEXO",TELEVISÃO
http://www.roteirodecinema.com.br/roteiros/aventurasdeumbarnabe.doc,"AVENTURAS DE UM BARNABÉ, AS",TELEVISÃO
http://www.roteirodecinema.com.br/banco/cabine.doc,"CABINE, A",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/dia-de-visita,"DIA DE VISITA",TELEVISÃO
http://www.casacinepoa.com.br/os-filmes/roteiros/meia-encarnada-dura-de-sangue,"MEIA ENCARNADA DURA DE SANGUE",TELEVISÃO
http://www.roteirodecinema.com.br/banco/celebridade01.doc,"CELEBRIDADE CAPÍTULO no.001",TELEVISÃO
